AAAA;NOM_USUEL;TMM;TXAB;TXMIN;NBJTX25;RR;RRAB;TMM_ma5;ville
1989;STRASBOURG-ENTZHEIM;10.6;34.4;-3.5;70.0;598.3;33.4;9.9;strasbourg
1990;STRASBOURG-ENTZHEIM;10.9;35.6;-2.3;49.0;623.4;53.6;10.2;strasbourg
1991;STRASBOURG-ENTZHEIM;10.0;34.2;-7.4;63.0;519.4;39.6;10.3;strasbourg
1992;STRASBOURG-ENTZHEIM;10.9;35.4;-3.4;62.0;613.3;23.6;10.6;strasbourg
1993;STRASBOURG-ENTZHEIM;10.4;32.4;-5.4;52.0;524.8;22.2;10.6;strasbourg
1994;STRASBOURG-ENTZHEIM;11.7;34.8;-1.3;59.0;679.7;42.2;10.8;strasbourg
1995;STRASBOURG-ENTZHEIM;10.7;34.2;-3.9;56.0;800.6;33.2;10.7;strasbourg
1996;STRASBOURG-ENTZHEIM;9.3;32.8;-9.5;45.0;650.8;37.2;10.6;strasbourg
1997;STRASBOURG-ENTZHEIM;10.5;32.4;-9.8;63.0;578.4;27.2;10.5;strasbourg
1998;STRASBOURG-ENTZHEIM;10.7;36.3;-3.2;47.0;597.2;20.6;10.6;strasbourg
1999;STRASBOURG-ENTZHEIM;11.1;32.7;-2.1;56.0;767.5;27.4;10.5;strasbourg
2000;STRASBOURG-ENTZHEIM;11.7;33.1;-2.1;56.0;697.1999999999999;32.0;10.7;strasbourg
2001;STRASBOURG-ENTZHEIM;11.0;34.5;-4.7;57.0;694.2;25.0;11.0;strasbourg
2002;STRASBOURG-ENTZHEIM;11.4;36.2;-4.7;52.0;805.6;40.6;11.2;strasbourg
2003;STRASBOURG-ENTZHEIM;11.5;38.5;-6.0;104.0;477.0;34.8;11.3;strasbourg
2004;STRASBOURG-ENTZHEIM;10.9;33.2;-2.0;61.0;614.8;38.6;11.3;strasbourg
2005;STRASBOURG-ENTZHEIM;10.8;34.3;-3.3;64.0;536.4;22.6;11.1;strasbourg
2006;STRASBOURG-ENTZHEIM;11.2;36.4;-5.1;72.0;681.4;44.6;11.2;strasbourg
2007;STRASBOURG-ENTZHEIM;11.5;34.3;-4.8;64.0;725.0;30.2;11.2;strasbourg
2008;STRASBOURG-ENTZHEIM;11.0;32.6;-3.4;58.0;661.6;24.6;11.1;strasbourg
2009;STRASBOURG-ENTZHEIM;11.1;35.0;-10.3;64.0;649.9;27.8;11.1;strasbourg
2010;STRASBOURG-ENTZHEIM;10.0;36.1;-5.5;54.0;794.2;28.5;11.0;strasbourg
2011;STRASBOURG-ENTZHEIM;11.6;35.1;-2.1;78.0;527.9;34.5;11.0;strasbourg
2012;STRASBOURG-ENTZHEIM;11.2;34.3;-8.4;71.0;609.2;20.7;11.0;strasbourg
2013;STRASBOURG-ENTZHEIM;10.7;36.4;-1.3;70.0;680.0;25.4;10.9;strasbourg
2014;STRASBOURG-ENTZHEIM;12.4;37.0;-2.7;60.0;673.7;66.3;11.2;strasbourg
2015;STRASBOURG-ENTZHEIM;12.0;38.7;0.4;67.0;474.7;40.4;11.6;strasbourg
2016;STRASBOURG-ENTZHEIM;11.3;36.0;-3.8;75.0;730.3;36.1;11.5;strasbourg
2017;STRASBOURG-ENTZHEIM;11.6;35.3;-4.9;81.0;604.3;27.7;11.6;strasbourg
2018;STRASBOURG-ENTZHEIM;12.5;36.4;-3.5;107.0;612.0;52.4;12.0;strasbourg
2019;STRASBOURG-ENTZHEIM;12.1;38.9;-1.0;84.0;579.3;44.0;11.9;strasbourg
2020;STRASBOURG-ENTZHEIM;12.6;36.7;-0.6;95.0;507.6;32.1;12.0;strasbourg
2021;STRASBOURG-ENTZHEIM;10.9;34.3;-4.4;68.0;793.1;42.2;11.9;strasbourg
2022;STRASBOURG-ENTZHEIM;12.9;38.4;-5.5;107.0;586.7;30.0;12.2;strasbourg
2023;STRASBOURG-ENTZHEIM;13.0;36.5;-0.4;108.0;541.0;31.2;12.3;strasbourg
2024;STRASBOURG-ENTZHEIM;12.5;35.3;-2.3;83.0;796.6;34.7;12.4;strasbourg
2025;STRASBOURG-ENTZHEIM;12.0;36.9;-2.3;76.0;613.3;35.3;12.3;strasbourg
1920;BORDEAUX-MERIGNAC;;20.8;-5.2;0.0;14.1;6.5;;bordeaux
1921;BORDEAUX-MERIGNAC;;38.1;-0.8;135.0;444.9;26.6;;bordeaux
1922;BORDEAUX-MERIGNAC;;38.7;1.2;76.0;824.1;38.2;;bordeaux
1923;BORDEAUX-MERIGNAC;;;;0.0;776.6;49.0;;bordeaux
1924;BORDEAUX-MERIGNAC;;35.1;-0.2;57.0;844.2;41.0;;bordeaux
1925;BORDEAUX-MERIGNAC;;35.5;2.2;67.0;943.7;53.5;;bordeaux
1926;BORDEAUX-MERIGNAC;;35.0;-2.0;78.0;809.8;30.6;;bordeaux
1927;BORDEAUX-MERIGNAC;;33.7;-0.3;42.0;1010.0;39.3;;bordeaux
1928;BORDEAUX-MERIGNAC;;38.5;3.2;91.0;987.1;46.1;;bordeaux
1929;BORDEAUX-MERIGNAC;;35.7;-3.9;78.0;747.3;30.5;;bordeaux
1930;BORDEAUX-MERIGNAC;;36.1;1.2;39.0;1316.8;46.6;;bordeaux
1931;BORDEAUX-MERIGNAC;;34.6;-1.2;40.0;1090.9;40.2;;bordeaux
1932;BORDEAUX-MERIGNAC;;36.1;-2.9;50.0;1057.6;47.2;;bordeaux
1933;BORDEAUX-MERIGNAC;;36.8;-3.0;78.0;842.3;37.2;;bordeaux
1934;BORDEAUX-MERIGNAC;;37.2;-0.8;84.0;883.1;35.3;;bordeaux
1935;BORDEAUX-MERIGNAC;;34.8;-1.6;64.0;1050.6;31.3;;bordeaux
1936;BORDEAUX-MERIGNAC;;33.0;0.0;37.0;850.8;28.8;;bordeaux
1937;BORDEAUX-MERIGNAC;;35.6;0.2;74.0;1190.9;47.0;;bordeaux
1938;BORDEAUX-MERIGNAC;;37.5;-4.4;50.0;665.1;40.2;;bordeaux
1939;BORDEAUX-MERIGNAC;;32.6;2.0;44.0;878.0;26.0;;bordeaux
1940;BORDEAUX-MERIGNAC;;30.2;-4.0;27.0;477.5;27.5;;bordeaux
1945;BORDEAUX-MERIGNAC;17.7;36.6;-2.8;104.0;490.6;29.0;;bordeaux
1946;BORDEAUX-MERIGNAC;9.7;38.0;-2.8;49.0;707.9;33.4;;bordeaux
1947;BORDEAUX-MERIGNAC;14.5;38.6;-3.6;88.0;867.6;47.0;;bordeaux
